Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	NMDS7	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
SRR14567222	0.112160717161489	0.209010803749102	0.171614095963994	-0.0526208349932842	0.0751609414563284	-0.113552091023992	-0.0341525418601424	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR1503066	0.112721690701044	-0.274777731418566	0.0371579235553492	-0.207483994533598	0.0882135306696497	0.0295121762749307	-0.0620165802872046	Epeolus variegatus	Solitary	Unknown	whole body	Italy	RNA	PRJNA252262	2011	September	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Epeolus	Apidae	Nomadinae	Epeolini	whole body	whole body	Europe	Solitary
SRR1503113	-0.00907559067808866	-0.00490613229819573	0.0486412418436854	0.1928250433956	-0.369948512876873	0.111014065768772	-0.167300053848366	Euglossa dilemma	Polymorphic	Unknown	whole body	Florida	RNA	PRJNA252310	2012	January	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	whole body	whole body	North America	Polymorphic
SRR1503129	0.173565799844215	-0.230373074642823	-0.0385541737660231	-0.27313925493931	0.18671193360896	-0.0209407795742882	-0.0825937783756351	Anthophora plumipes	Solitary	Male	whole body	Germany	RNA	PRJNA252326	2011	April	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Anthophora	Apidae	Apinae	Anthophorini	whole body	whole body	Europe	Solitary
SRR1503133	0.17356579983369	-0.230373074552981	-0.0385541737632831	-0.273139255199772	0.186711933303137	-0.0209407799380481	-0.0825937783960661	Nomada lathburiana	Solitary	Female	whole body	Germany	RNA	PRJNA252330	2011	April	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Nomada	Apidae	Nomadinae	Nomadini	whole body	whole body	Europe	Solitary
SRR15496114	0.493324451074427	0.0483272903704947	-0.022357933101087	-0.0744866714261445	-0.182123619796294	-0.139519440118657	0.209903799721646	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia	Complex Eusocial
SRR15496115	0.494073770533391	0.0477615406744837	-0.0223789620190992	-0.0757231914175342	-0.178492849042819	-0.140717555106598	0.210065241476727	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia	Complex Eusocial
SRR17475010	-0.412678279089917	-0.00156259050619797	0.0642035151569559	0.0123181954781303	0.0565974984119909	-0.0782996095234665	0.0504594105999157	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA793424	2020	September	Paired	RANDOM	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia	Complex Eusocial
SRR18500042	-0.0509824869274309	0.175873571347331	-0.20648286056415	-0.00737270830402813	0.0463831515256578	0.105252826581244	0.0022308737393848	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500043	-0.38718020837138	-0.0138047228446116	0.0775903511895459	0.0938832941186052	-0.0273988477595015	-0.000681284751252424	-0.0195673353693406	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500044	-0.376176323916838	-0.0219130364771419	0.0421982457185745	0.0298454961845292	0.0569708890721895	-0.111932782734182	-0.0143002848757412	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500045	-0.412678278344759	-0.00156258886088538	0.0642035176780057	0.0123181954754945	0.0565974973122645	-0.0782996109712461	0.0504594096632048	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500050	-0.316884757117428	-0.0664230509138747	0.00800285838804211	0.0660013782274067	0.0503975824668158	-0.168379264435905	-0.0255214364506484	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500061	-0.412678279132733	-0.00156259060057129	0.0642035150122656	0.0123181954781528	0.0565974984748905	-0.0782996094404801	0.0504594106535678	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500072	-0.279555191654862	-0.00246169775925274	0.0616062129177929	0.16907884236099	-0.249971200833181	0.0750353320059568	-0.0664344065692331	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500076	-0.0251963686665128	0.181924034886054	-0.210116459488822	0.0368031146187551	0.0198022536633349	0.117828452305718	0.00669871878035946	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500077	-0.220076072504302	-0.122944998714311	-0.0527273563237437	0.121827212070847	0.0111855241283293	-0.22053454680211	-0.0574576743259	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500078	-0.361225439023049	-0.0386027812331674	0.00263604618435446	0.0460808261240135	0.0433172009768381	-0.111254629345064	-0.110671305524674	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500079	-0.424054675941213	-0.000304182606046296	0.0348376606771075	0.0237392713384373	0.0635318885923716	-0.050008437920685	-0.009892999137946	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500080	-0.07253106020553	0.190668318347162	-0.175997713805899	-0.000766839500791871	-0.0260572376580153	0.0454217903213061	0.0572070058935764	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500081	-0.131293823181583	0.164792382291675	-0.173712677039149	0.0219130990061054	0.0268387933957244	0.0759328995470548	0.0259207916711022	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500082	-0.133382521620664	0.103898690745467	-0.108530911440835	0.0739409866731068	0.0614653316870143	-0.0506099948151842	-0.0935728944260544	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500084	0.0030166450804403	0.235719902780403	-0.212935798905985	-0.0153926564670898	0.0121221018334038	0.0649468536707283	-0.0115031877807758	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500085	-0.0954819576830033	0.146360367730822	-0.203435282392065	0.0343605034818749	0.0495107452589692	0.135567188647412	0.0291572576312518	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500086	0.0990893209325057	0.115991012711824	0.296652256509811	0.0830717971153401	0.069189660650633	-0.0607526792262915	-0.0195172116105915	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500087	-0.0866487441816552	0.136704361498304	0.00521150574944336	-0.0370937976998917	-0.268981342041232	-0.25909175201925	0.0924484781981265	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500088	-0.346353341576129	0.0699501474742115	0.0248786127757925	0.0511837171031109	0.0577931961514782	-0.00887994373147947	-0.0608230224018115	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500090	0.105531951909675	0.192507776329741	0.171279087787022	0.0610113351390333	0.0994692314985927	0.0144362436039298	-0.0153213839453569	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR18500091	-0.00241723161276347	0.199025784719512	-0.21522032020937	0.0402094556298006	0.0520270367990242	0.152567808364709	0.0830839623787988	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania	Complex Eusocial
SRR2001612	0.230573373162979	-0.0023941409012116	-0.0519279154884512	-0.118247420110506	-0.33821515328277	0.0615513370200832	-0.250685285254598	Habropoda laboriosa	Solitary	Male	whole body	Florida	RNA	PRJNA279436	2011	NA	Paired	Other	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Habropoda	Apidae	Apinae	Anthophorini	whole body	whole body	North America	Solitary
SRR2001766	-0.0154740247634202	-0.284574335661186	0.0309221438870993	-0.10686285959539	0.0525463011470283	0.226034201319062	0.050578198370658	Dufourea novaeangliae	Solitary	Male	whole body	Canada	RNA	PRJNA279825	2011	NA	Paired	Other	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Dufourea	Halictidae	Rophitinae	Rophitini	whole body	whole body	North America	Solitary
SRR2396653	-0.0118721339752083	-0.154025595339747	-0.135795766442626	0.167320089955842	-0.0622693802572905	-0.31095798916502	-0.0599818836557999	Bombus terrestris	Eusocial	Queen	abdomen with fat bodies	Israel	RNA	PRJNA295976	2015	NA	Single	CDNA	Illumina Genome Analyzer	Illumina	Illumina Genome Analyzer	Bombus	Apidae	Apinae	Bombini	abdomen and fatbody	abdomen and fat body	Asia	Primitive Eusocial
SRR2895251	-0.16685788918402	-0.00478062312739442	0.167725102768662	-0.174815569109133	-0.151312771986849	0.061146362007271	0.218600443661461	Osmia bicornis	Solitary	Male	whole body	Germany	RNA	PRJNA285788	2016	May	Paired	POLYA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	whole body	whole body	Europe	Solitary
SRR2915407	0.16737893486569	-0.242373824306522	-0.0425057985211481	-0.252065778632925	0.178580673815167	-0.043743217899429	-0.0105110608848095	Ceratina australensis	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA302035	2014	December	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Ceratina	Apidae	Xylocopinae	Ceratini	whole body	whole body	Oceania	Polymorphic
SRR2954866	0.198756790259785	-0.244223429403832	-0.0457232710979001	-0.24470892159083	0.166987805809987	-0.0328150961551966	-0.00106784381910779	Ceratina australensis	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA302035	2014	December	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Ceratina	Apidae	Xylocopinae	Ceratini	whole body	whole body	Oceania	Polymorphic
SRR3383868	0.0347859342589026	0.212706929748245	-0.168471946649103	-0.112908160056493	0.0366788372911334	-0.0966120775309166	0.0990328196291146	Bombus terrestris	Eusocial	Female	head and abdomen (pooled 5 queens)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR3948531	0.0486869874896341	-0.160794599507385	-0.071339330732164	0.257555864642498	0.355635581392546	0.138431240684337	-0.10601834231641	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	Halictinae	Augochlorini	whole body	whole body	North America	Polymorphic
SRR3948548	-0.316524556924748	-0.105442388991607	0.0233638465075621	0.0869065290325963	0.214423723732558	0.0166408876868878	0.00792804458194186	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	Halictinae	Augochlorini	whole body	whole body	North America	Polymorphic
SRR3948572	0.259511115430132	-0.262388320699179	-0.0644527246919385	0.157958852765582	0.177485965944481	0.0965430573069891	-0.0628512498091066	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	Halictinae	Augochlorini	whole body	whole body	North America	Polymorphic
SRR3948577	0.0949768700330963	-0.144662456198066	-0.0873824401194272	0.301278612381369	0.29188222183842	0.179724346532758	-0.171943477550036	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Halictidae	Halictinae	Augochlorini	whole body	whole body	North America	Polymorphic
SRR5109820	-0.00873383444325364	0.316087445809002	-0.150053409884029	-0.150471004405543	0.033604998425638	-0.0138752774223132	-0.106114515676189	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa	Complex Eusocial
SRR5109826	0.213733839577736	0.16608799868797	0.30803128314338	0.0776910823969844	0.0761182334800405	-0.0431651817353646	-0.0174405964480939	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa	Complex Eusocial
SRR5109829	0.181588986455695	0.18034702364136	0.327628727266483	0.0711325118512331	0.0938450223735971	-0.0251400014822902	-0.0210829880834703	Apis mellifera	Eusocial	Female	whole body	Netherlands	RNA	PRJNA357165	2014	July	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Europe	Complex Eusocial
SRR5109831	-0.0569844936623338	0.35205269600764	-0.0368048148525277	-0.245791871451892	0.0206960865923913	-0.0672432420672186	-0.214989359327443	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa	Complex Eusocial
SRR5109832	0.181589019297918	0.180347027370048	0.327628722548202	0.0711323838647773	0.0938451141182422	-0.0251399951763992	-0.0210830505294364	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa	Complex Eusocial
SRR5109833	-0.0445672362992158	0.371769751155967	-0.0212034442050272	-0.245138092174743	-0.0939875362813419	-0.167328785463392	-0.0529165661272474	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa	Complex Eusocial
SRR5117446	-0.12912241406497	0.0414669187363992	0.0905206252911874	0.324418562928282	-0.358601921836629	0.0945140766113627	-0.130914370355574	Apis mellifera	Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	June	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR5117450	0.18158916996935	0.180347044475686	0.32762870089828	0.0711317969029507	0.0938455348353766	-0.0251399661884607	-0.0210833369005597	Apis mellifera	Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	August	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR5253659	0.0675438834749942	-0.159032774738392	0.0492557242840921	0.117023331014354	0.296454540653683	0.102524149070871	0.235613693290021	Halictus sexcinctus	Polymorphic	Unknown	whole body	Switzerland	RNA	PRJNA374528	2017	NA	Single	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Halictus	Halictidae	Halictinae	Halictini	whole body	whole body	Europe	Polymorphic
SRR5387735	-0.412678279090988	-0.00156259050849062	0.0642035151534062	0.0123181954780788	0.0565974984134462	-0.0782996095214735	0.050459410601188	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia	Complex Eusocial
SRR5387737	-0.412678279015595	-0.00156259034226728	0.0642035154082309	0.0123181954780033	0.0565974983026089	-0.0782996096676562	0.0504594105066672	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia	Complex Eusocial
SRR5387738	-0.41267827894535	-0.00156259018485839	0.0642035156482191	0.0123181954759438	0.0565974981948741	-0.0782996098069634	0.0504594104159758	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia	Complex Eusocial
SRR6148364	0.025385128086059	0.196941077095298	-0.216232483917979	-0.0251113001172966	0.0363560788600338	0.0947227825566571	0.048722741655811	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe	Solitary
SRR6148366	0.186974404421572	0.123107285255462	0.301224688765931	0.04083249815865	0.0826635761738907	-0.0370636623859239	-0.0287525839234984	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148368	0.0158356088221413	0.254784512540042	-0.21327905718119	-0.019460465328423	0.0534042268268853	0.084415805011289	0.0135396600270852	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148369	0.0330274465097581	0.20237891563692	-0.21380731087361	-0.0363435072281877	0.0728605811261684	0.0451009313099067	0.0545607999127766	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148370	0.0240698941612754	0.202733222016176	-0.208162603353056	-0.0228858098441348	0.0550496469186272	0.0895188923038165	0.0484257412048828	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148371	0.0573373415136871	0.14049710512021	-0.185467306068409	-0.0579897163810144	-0.117883049549327	0.0790680483413226	-0.125274401163737	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe	Solitary
SRR6148372	0.0338077080450081	-0.0566453421483575	0.0444809759198336	0.208880590557241	-0.0829310960326693	-0.0341921465857109	0.342344852278306	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148374	0.0145334839992175	0.231270265980652	-0.206678998689421	-0.0119914956217	0.00508543501317471	0.0728914650932278	0.0482691091782074	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148376	0.0294029936128959	0.20145683870506	-0.207656466352558	-0.0454000883606334	-0.00222954470175117	0.0518911140655341	0.0342251192212966	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148378	0.203296522578545	0.154115439347036	0.309808385054318	0.0594333960408259	0.0459652076272439	-0.0155021474085728	-0.0551585631374676	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe	Primitive Eusocial
SRR6148379	-0.0569684902804094	0.00519630150739217	-0.0473664814242214	-0.130535814663137	-0.262279943241921	0.0459760142660773	-0.228186207109975	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe	Solitary
SRR8335253	0.173565799848737	-0.230373074748581	-0.0385541737805929	-0.273139254655408	0.186711933949708	-0.0209407791405586	-0.0825937783436675	Andrena camellia	Solitary	Female	whole body	China	RNA	PRJNA510543	2017	NA	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body	whole body	Asia	Solitary
SRR8335256	0.174829969365028	-0.200093646541442	0.0677465941150194	-0.2969426587311	-0.0128783554868073	0.107757306864304	0.0792694218101694	Apis mellifera	Eusocial	Female	whole body	China	RNA	PRJNA510543	2017	NA	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia	Complex Eusocial
SRR8335258	0.173565799867804	-0.230373074653261	-0.0385541737693489	-0.273139254908586	0.186711933636633	-0.0209407795184396	-0.0825937783694456	Apis mellifera	Eusocial	Female	whole body	China	RNA	PRJNA510543	2017	NA	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia	Complex Eusocial
SRR8754036	0.42293672244795	-0.124510652028258	-0.181889759176538	0.377315178936887	9.22782300947599e-05	-0.0674525375844506	0.052897085435955	Apis mellifera	Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America	Complex Eusocial
SRR8754038	-0.0209350347467828	-0.133257455733311	-0.146551218213216	0.206081566708635	-0.0844447126896438	-0.318773492967924	-0.0826094710631054	Apis mellifera	Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America	Complex Eusocial
SRR8867392	0.145996350943876	0.216931835729436	0.158074922127847	0.0612320006777472	0.0877066241807544	0.0256668578359358	-0.0397121117235869	Apis mellifera	Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	November	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	North America	Complex Eusocial
